"Feature","Hetzner Cloud (Recommended)","DigitalOcean (DOKS)","Google Cloud (GKE)","Azure (AKS)","AWS (EKS)"
"Control Plane","€0 (Self-managed K3s)","$0 (Free)","$0 (Free for 1st zonal)","$0 (Free tier)","$73.00 ($0.10/hr)"
"Worker Nodes (x2)","€21.50 (2x CPX21: 3vCPU/4GB)","$48.00 (2x Basic: 2vCPU/4GB)","~$62.00 (2x e2-medium)","~$68.00 (2x B2s)","~$70.00 (2x t3.medium)"
"Load Balancer","€6.90","$12.00","~$18.00","~$20.00","~$18.00 (ALB/CLB)"
"Block Storage (40GB)","included in VPS (80GB)","$4.00","$4.00","$5.00","$4.00"
"Bandwidth (Egress)","20TB included","2TB included","High cost after free tier","High cost after free tier","High cost after free tier"
"TOTAL (Monthly)","~€29.00","~$64.00","~$84.00","~$93.00","~$165.00"
"Complexity","High (Manual Setup)","Low (1-Click)","Medium (Many options)","Medium","High (IAM, VPC)"
""
"Domain Registration"
"Extension","AWS Route53","Google Domains","Namecheap / GoDaddy","Websupport.sk (Local)"
".com","$14.00 / yr","$12.00 / yr","~$10 - $15 / yr","~$12 / yr"
".sk","Not directly available","Not directly available","~$16.00 / yr","~$14.00 / yr"
